Medicine_Name,Batch_Number,Quantity_In,Quantity_Out,Balance,Days_To_Expiry,Manufacturer,Category,Need_Attention
Vitamin C,BT001,405,45,360,-57,Mankind,Capsule,Yes
Paracetamol,BT002,113,18,95,3,Sun Pharma,Injection,Yes
ORS,BT003,90,52,38,187,Mankind,Capsule,No
Azithromycin,BT004,189,29,160,-4,Dr Reddy,Syrup,Yes
Vitamin C,BT005,238,36,202,288,Sun Pharma,Tablet,No
ORS,BT006,492,32,460,82,,Tablet,No
Insulin,BT007,344,312,32,-90,Abbott,Tablet,Yes
Ibuprofen,BT008,473,406,67,117,Cipla,Syrup,No
Insulin,BT009,215,170,45,-5,Sun Pharma,Capsule,Yes
Insulin,BT010,182,39,143,22,Sun Pharma,Syrup,Yes
Paracetamol,BT011,236,127,109,-39,Cipla,Tablet,Yes
Pantoprazole,BT012,413,291,122,96,Abbott,Tablet,No
Azithromycin,BT013,147,114,33,59,Dr Reddy,Injection,No
Azithromycin,BT014,421,406,15,140,Sun Pharma,Capsule,Yes
Metformin,BT015,353,335,18,351,Dr Reddy,Injection,Yes
Metformin,BT016,219,18,201,180,Sun Pharma,Injection,No
Insulin,BT017,220,145,75,253,Abbott,Capsule,No
Metformin,BT018,477,439,38,245,Abbott,Injection,No
Paracetamol,BT019,460,418,42,-76,Dr Reddy,Tablet,Yes
ORS,BT020,311,36,275,55,Cipla,Syrup,No
Ibuprofen,BT021,110,73,37,243,Dr Reddy,,No
Azithromycin,BT022,349,33,316,-52,Dr Reddy,Injection,Yes
Metformin,BT023,497,269,228,23,Cipla,Capsule,Yes
Azithromycin,BT024,499,318,181,-48,Mankind,Capsule,Yes
Azithromycin,BT025,141,23,118,335,Mankind,Tablet,No
Amoxicillin,BT026,479,282,197,-65,Mankind,Syrup,Yes
Vitamin C,BT027,219,11,208,113,Sun Pharma,Tablet,No
Insulin,BT028,330,107,223,174,Cipla,Capsule,No
Paracetamol,BT029,402,204,198,294,Sun Pharma,Capsule,No
Amoxicillin,BT030,479,438,41,346,Mankind,Syrup,No
Amoxicillin,BT031,321,240,81,161,Dr Reddy,Tablet,No
ORS,BT032,289,18,271,365,Sun Pharma,Injection,No
Azithromycin,BT033,292,164,128,-74,Sun Pharma,Injection,Yes
Vitamin C,BT034,327,147,180,276,Mankind,Injection,No
Ibuprofen,BT035,450,401,49,-69,Dr Reddy,Capsule,Yes
Metformin,BT036,500,42,458,145,Dr Reddy,Injection,No
Amoxicillin,BT037,348,193,155,-69,Sun Pharma,Tablet,Yes
Insulin,BT038,214,141,73,248,Cipla,Tablet,No
ORS,BT039,398,370,28,31,Dr Reddy,Tablet,No
Metformin,BT040,152,102,50,220,Dr Reddy,Capsule,No
Metformin,BT041,386,337,49,146,Mankind,Syrup,No
Pantoprazole,BT042,163,160,3,-15,Dr Reddy,Syrup,Yes
